00_00_000_00	score: 0.9940682546821904
00_00_000_01	score: 0.9938188114945067
00_00_000_02	score: 0.9935579060796551
00_00_000_03	score: 0.9935164088743111
00_00_000_04	score: 0.992752234983152
00_00_000_05	score: 0.9921039515384816
00_00_001_00	score: 0.9924234400054044
00_00_001_01	score: 0.9918163368984803
00_00_001_02	score: 0.991381727492445
00_00_001_03	score: 0.9918208936914392
00_00_001_04	score: 0.9877016938218197
00_00_001_05	score: 0.9850926805126845
00_00_002_00	score: 0.9833946900873055
00_00_002_01	score: 0.9822850725492213
00_00_002_02	score: 0.9830399464970424
00_00_002_03	score: 0.9817132551234925
00_00_002_04	score: 0.9786493375478263
00_00_002_05	score: 0.9786968783795081
00_00_003_00	score: 0.9772024128379784
00_00_003_01	score: 0.9777346747137375
00_00_003_02	score: 0.9802962588762321
00_00_003_03	score: 0.9761696326565448
00_00_003_04	score: 0.9750166858741068
00_00_003_05	score: 0.9760581780601484
00_00_004_00	score: 0.9746262176147168
00_00_004_01	score: 0.9746430951316725
00_00_004_02	score: 0.9778731901893211
00_00_004_03	score: 0.9720757626033608
00_00_004_04	score: 0.9710510412707972
00_00_004_05	score: 0.9712311259396975
00_00_005_00	score: 0.970523161934543
00_00_005_01	score: 0.969838819768156
00_00_005_02	score: 0.973755742665556
00_00_005_03	score: 0.9724122275234073
00_00_005_04	score: 0.9703880447097823
00_00_005_05	score: 0.9694515081891065
00_00_006_00	score: 0.9712488145379761
00_00_006_01	score: 0.9710047380576929
00_00_006_02	score: 0.972093628715123
00_00_006_03	score: 0.971229633640812
00_00_006_04	score: 0.9681097397757923
00_00_006_05	score: 0.9691755219677374
00_00_007_00	score: 0.9698761399701824
00_00_007_01	score: 0.9660289698919657
00_00_007_02	score: 0.9629826468563668
00_00_007_03	score: 0.9619067316573565
00_00_007_04	score: 0.9626333048457371
00_00_007_05	score: 0.9642378506955452
00_00_008_00	score: 0.9641408026955819
00_00_008_01	score: 0.9628399693832111
00_00_008_02	score: 0.9597776480208707
00_00_008_03	score: 0.9563543016270308
00_00_008_04	score: 0.9545792109932072
00_00_008_05	score: 0.9546652433533507
00_00_009_00	score: 0.955125367921979
00_00_009_01	score: 0.9451082104415158
00_00_009_02	score: 0.9438078104871626
00_00_009_03	score: 0.9423471344532336
00_00_009_04	score: 0.9373084994438
00_00_009_05	score: 0.9373357834345694
00_01_000_00	score: 0.995811033592441
00_01_000_01	score: 0.9957076021631475
00_01_000_02	score: 0.9951192725414197
00_01_000_03	score: 0.9945205261086666
00_01_000_04	score: 0.9946549806343171
00_01_000_05	score: 0.9936497639469872
00_01_001_00	score: 0.993706201985045
00_01_001_01	score: 0.99332184455055
00_01_001_02	score: 0.9935470365006724
00_01_001_03	score: 0.991284187717325
00_01_001_04	score: 0.9904789113747317
00_01_001_05	score: 0.9887562315892141
00_01_002_00	score: 0.9876360442390584
00_01_002_01	score: 0.9880756923589278
00_01_002_02	score: 0.9866959999418219
00_01_002_03	score: 0.9852953269387146
00_01_002_04	score: 0.9833118022463385
00_01_002_05	score: 0.982756023943496
00_01_003_00	score: 0.9816529552921553
00_01_003_01	score: 0.9821848509651165
00_01_003_02	score: 0.9805491673309062
00_01_003_03	score: 0.9792815033308024
00_01_003_04	score: 0.977456159705691
00_01_003_05	score: 0.9756022126819635
00_01_004_00	score: 0.9779460220735225
00_01_004_01	score: 0.9774925503849583
00_01_004_02	score: 0.9761881403933804
00_01_004_03	score: 0.9748987968056011
00_01_004_04	score: 0.9745222936913657
00_01_004_05	score: 0.9739240262854831
00_01_005_00	score: 0.9730365625078368
00_01_005_01	score: 0.9751239773389664
00_01_005_02	score: 0.974770994184163
00_01_005_03	score: 0.9743745311317927
00_01_005_04	score: 0.9731651153960226
00_01_005_05	score: 0.9729091235023567
00_01_006_00	score: 0.9721160379476268
00_01_006_01	score: 0.9706225983303788
00_01_006_02	score: 0.9706385365366678
00_01_006_03	score: 0.9678956090089492
00_01_006_04	score: 0.9699000882818538
00_01_006_05	score: 0.9722726767855032
00_01_007_00	score: 0.9725794931803768
00_01_007_01	score: 0.966831904172619
00_01_007_02	score: 0.9718527185113112
00_01_007_03	score: 0.9715733484394686
00_01_007_04	score: 0.9706030739056721
00_01_007_05	score: 0.9679047175385477
00_01_008_00	score: 0.9691836093937478
00_01_008_01	score: 0.9664436772656667
00_01_008_02	score: 0.965066639634394
00_01_008_03	score: 0.9639807390612464
00_01_008_04	score: 0.960833498875789
00_01_008_05	score: 0.9644462965946617
00_01_009_00	score: 0.9625024769121433
00_01_009_01	score: 0.9562090125791209
00_01_009_02	score: 0.9568828537936228
00_01_009_03	score: 0.9534772772491652
00_01_009_04	score: 0.9551731111923282
00_01_009_05	score: 0.956804867341017
00_02_000_00	score: 0.9929589343451871
00_02_000_01	score: 0.9946086833864081
00_02_000_02	score: 0.9958518152518244
00_02_000_03	score: 0.995245180051895
00_02_000_04	score: 0.9943783684613523
00_02_000_05	score: 0.9941841102862189
00_02_001_00	score: 0.9932458831429454
00_02_001_01	score: 0.9923442377538046
00_02_001_02	score: 0.9925396491764706
00_02_001_03	score: 0.9912727157703147
00_02_001_04	score: 0.9897742519013654
00_02_001_05	score: 0.9876452250954968
00_02_002_00	score: 0.9857525349700795
00_02_002_01	score: 0.9859817462379318
00_02_002_02	score: 0.9859337292196826
00_02_002_03	score: 0.9825472672199405
00_02_002_04	score: 0.980948466654555
00_02_002_05	score: 0.9798073572058887
00_02_003_00	score: 0.9806966339689933
00_02_003_01	score: 0.9795107460217349
00_02_003_02	score: 0.9786727177159487
00_02_003_03	score: 0.9759719266194458
00_02_003_04	score: 0.9743110607241384
00_02_003_05	score: 0.9736570391498144
00_02_004_00	score: 0.9747172002257346
00_02_004_01	score: 0.9769333095031768
00_02_004_02	score: 0.9750940893733242
00_02_004_03	score: 0.9735583822554784
00_02_004_04	score: 0.9735384852119774
00_02_004_05	score: 0.9743594002237029
00_02_005_00	score: 0.9748095262008973
00_02_005_01	score: 0.9750252375796931
00_02_005_02	score: 0.9756824371018138
00_02_005_03	score: 0.9749525858755234
00_02_005_04	score: 0.9748349896491834
00_02_005_05	score: 0.9750082617722964
00_02_006_00	score: 0.9749975808891655
00_02_006_01	score: 0.9747700653845647
00_02_006_02	score: 0.9752304703886885
00_02_006_03	score: 0.9746995222532389
00_02_006_04	score: 0.9765113098788123
00_02_006_05	score: 0.9777535416293729
00_02_007_00	score: 0.9702343562875652
00_02_007_01	score: 0.9700357056122394
00_02_007_02	score: 0.9422959551071434
00_02_007_03	score: 0.9406512713987494
00_02_007_04	score: 0.9393298480972004
00_02_007_05	score: 0.9359787154114824
00_02_008_00	score: 0.9340373917575463
00_02_008_01	score: 0.9311354525539721
00_02_008_02	score: 0.9330816631443621
00_02_008_03	score: 0.929912537634007
00_02_008_04	score: 0.927714871497811
00_02_008_05	score: 0.929112809908993
00_02_009_00	score: 0.9286866322805595
00_02_009_01	score: 0.9269426382556116
00_02_009_02	score: 0.9557563382048633
00_02_009_03	score: 0.9526288091306367
00_02_009_04	score: 0.9170106328165973
00_02_009_05	score: 0.9109087206660643
00_03_000_00	score: 0.9955866079738341
00_03_000_01	score: 0.9923550320805697
00_03_000_02	score: 0.996425298491827
00_03_000_03	score: 0.996346056868029
00_03_000_04	score: 0.9953284102130789
00_03_000_05	score: 0.9931630925800213
00_03_001_00	score: 0.9924545737202444
00_03_001_01	score: 0.9890924687628759
00_03_001_02	score: 0.9919764501559386
00_03_001_03	score: 0.9903721737415152
00_03_001_04	score: 0.9888265770421182
00_03_001_05	score: 0.9858659630245418
00_03_002_00	score: 0.9840960311575915
00_03_002_01	score: 0.9848785293408338
00_03_002_02	score: 0.9860007498480182
00_03_002_03	score: 0.9840338801992866
00_03_002_04	score: 0.9838401692858739
00_03_002_05	score: 0.9841545526918121
00_03_003_00	score: 0.9808899084680603
00_03_003_01	score: 0.981156921257773
00_03_003_02	score: 0.9805948261071971
00_03_003_03	score: 0.9804771394258602
00_03_003_04	score: 0.9804406808047355
00_03_003_05	score: 0.9802715342562961
00_03_004_00	score: 0.9794007839146613
00_03_004_01	score: 0.9782490009032032
00_03_004_02	score: 0.9773750322769867
00_03_004_03	score: 0.9780316100412104
00_03_004_04	score: 0.9756288363740809
00_03_004_05	score: 0.9761536985869854
00_03_005_00	score: 0.9747861386040156
00_03_005_01	score: 0.9738825454788416
00_03_005_02	score: 0.9757504445495434
00_03_005_03	score: 0.9776284479509375
00_03_005_04	score: 0.9762037931652432
00_03_005_05	score: 0.9728232432750019
00_03_006_00	score: 0.9718974618023327
00_03_006_01	score: 0.9710350372747738
00_03_006_02	score: 0.9750844454806586
00_03_006_03	score: 0.9734712398761934
00_03_006_04	score: 0.9677217915193559
00_03_006_05	score: 0.9678795973715674
00_03_007_00	score: 0.9647036715522067
00_03_007_01	score: 0.9662339325980112
00_03_007_02	score: 0.9647021031731091
00_03_007_03	score: 0.964948057488862
00_03_007_04	score: 0.9658723853354421
00_03_007_05	score: 0.9678288504927163
00_03_008_00	score: 0.9645184368187255
00_03_008_01	score: 0.9622831407708271
00_03_008_02	score: 0.9601289545829832
00_03_008_03	score: 0.9544352211425281
00_03_008_04	score: 0.957593802386542
00_03_008_05	score: 0.9281326725136086
00_03_009_00	score: 0.9199964514452564
00_03_009_01	score: 0.9472033765707517
00_03_009_02	score: 0.9502310114363801
00_03_009_03	score: 0.9140650978668596
00_03_009_04	score: 0.9218561887663825
00_03_009_05	score: 0.9505270021406601
00_04_000_00	score: 0.9942654895801665
00_04_000_01	score: 0.9932322554848125
00_04_000_02	score: 0.99353056416867
00_04_000_03	score: 0.9929591252427606
00_04_000_04	score: 0.9925287511691367
00_04_000_05	score: 0.9919733846158959
00_04_001_00	score: 0.991355406005971
00_04_001_01	score: 0.9911358544881155
00_04_001_02	score: 0.9897788683541168
00_04_001_03	score: 0.9864361937770793
00_04_001_04	score: 0.9843079601512577
00_04_001_05	score: 0.9822921717851842
00_04_002_00	score: 0.9824199543275967
00_04_002_01	score: 0.9818818883448034
00_04_002_02	score: 0.9807544748268631
00_04_002_03	score: 0.9782376021895162
00_04_002_04	score: 0.9774209330111957
00_04_002_05	score: 0.9772092735976778
00_04_003_00	score: 0.9779495918883669
00_04_003_01	score: 0.9783547238528771
00_04_003_02	score: 0.9758171546189103
00_04_003_03	score: 0.9718462910988096
00_04_003_04	score: 0.9713083823029937
00_04_003_05	score: 0.970072226850991
00_04_004_00	score: 0.9720555302399025
00_04_004_01	score: 0.9744328073087332
00_04_004_02	score: 0.9726483698659888
00_04_004_03	score: 0.9669336906840641
00_04_004_04	score: 0.9670347246160028
00_04_004_05	score: 0.9686590250710337
00_04_005_00	score: 0.9717453262873896
00_04_005_01	score: 0.9758246485044073
00_04_005_02	score: 0.975172530854758
00_04_005_03	score: 0.9718157896605825
00_04_005_04	score: 0.968692454875508
00_04_005_05	score: 0.9701386617945532
00_04_006_00	score: 0.9721065865415958
00_04_006_01	score: 0.9712931310045412
00_04_006_02	score: 0.9688115117011297
00_04_006_03	score: 0.9648058723266228
00_04_006_04	score: 0.9683171025297727
00_04_006_05	score: 0.9699352467353343
00_04_007_00	score: 0.9671896880267626
00_04_007_01	score: 0.961828956103835
00_04_007_02	score: 0.9582064682654085
00_04_007_03	score: 0.9556503086102416
00_04_007_04	score: 0.9520193563653914
00_04_007_05	score: 0.9570028456378381
00_04_008_00	score: 0.9571545709603307
00_04_008_01	score: 0.9487722064591452
00_04_008_02	score: 0.9455022961233194
00_04_008_03	score: 0.930040195284595
00_04_008_04	score: 0.9244193007399613
00_04_008_05	score: 0.9246673404157261
00_04_009_00	score: 0.9069331451567892
00_04_009_01	score: 0.8898883148079281
00_04_009_02	score: 0.8563481728042909
00_04_009_03	score: 0.8519185505107832
00_04_009_04	score: 0.8629951400070883
00_04_009_05	score: 0.906787427587316
01_00_000_00	score: 0.9943856692654599
01_00_000_01	score: 0.9944835272132445
01_00_000_02	score: 0.9941875798811314
01_00_000_03	score: 0.9945999895429806
01_00_000_04	score: 0.993771898808096
01_00_000_05	score: 0.9935580749512215
01_00_001_00	score: 0.9933960977956571
01_00_001_01	score: 0.9928642858528309
01_00_001_02	score: 0.9933226928650305
01_00_001_03	score: 0.9917148829293806
01_00_001_04	score: 0.9897496885621804
01_00_001_05	score: 0.9856975643103627
01_00_002_00	score: 0.9847669037641906
01_00_002_01	score: 0.9831324007641671
01_00_002_02	score: 0.9832423212243387
01_00_002_03	score: 0.9827266291545245
01_00_002_04	score: 0.9804700361968057
01_00_002_05	score: 0.9793709106673418
01_00_003_00	score: 0.9787695225855326
01_00_003_01	score: 0.979936334485262
01_00_003_02	score: 0.9815666314585914
01_00_003_03	score: 0.9765790845255999
01_00_003_04	score: 0.9725844338098731
01_00_003_05	score: 0.9743871261511018
01_00_004_00	score: 0.9741188721882937
01_00_004_01	score: 0.9749518007029354
01_00_004_02	score: 0.9767534022809141
01_00_004_03	score: 0.9708695783994112
01_00_004_04	score: 0.9674456453218344
01_00_004_05	score: 0.9685084926822528
01_00_005_00	score: 0.971519687330784
01_00_005_01	score: 0.971356871137789
01_00_005_02	score: 0.9733729793139484
01_00_005_03	score: 0.9711074581702523
01_00_005_04	score: 0.9694024514208324
01_00_005_05	score: 0.9723377002546613
01_00_006_00	score: 0.9697568035646544
01_00_006_01	score: 0.9726523868651759
01_00_006_02	score: 0.9751358201641888
01_00_006_03	score: 0.9401469800037802
01_00_006_04	score: 0.9434021716575299
01_00_006_05	score: 0.9653387417168628
01_00_007_00	score: 0.9711490695249527
01_00_007_01	score: 0.9698541193964971
01_00_007_02	score: 0.9699163296454527
01_00_007_03	score: 0.9676844112828806
01_00_007_04	score: 0.9696574288179879
01_00_007_05	score: 0.9671271250779397
01_00_008_00	score: 0.9686922637982696
01_00_008_01	score: 0.9688895930914266
01_00_008_02	score: 0.957330962762428
01_00_008_03	score: 0.9545185605028995
01_00_008_04	score: 0.9552218916489172
01_00_008_05	score: 0.9526099897044618
01_00_009_00	score: 0.9505073617180575
01_00_009_01	score: 0.9020509372440447
01_00_009_02	score: 0.9398144978055007
01_00_009_03	score: 0.9356278403634383
01_00_009_04	score: 0.9340889354835582
01_00_009_05	score: 0.9345945097976603
01_01_000_00	score: 0.9931952679118018
01_01_000_01	score: 0.9927117988846024
01_01_000_02	score: 0.99282456895212
01_01_000_03	score: 0.9923815379010231
01_01_000_04	score: 0.991684725656154
01_01_000_05	score: 0.9908711638703696
01_01_001_00	score: 0.9909835639262852
01_01_001_01	score: 0.9899171502589912
01_01_001_02	score: 0.9892089776491827
01_01_001_03	score: 0.9879708039963705
01_01_001_04	score: 0.9851018072122932
01_01_001_05	score: 0.9831235312464792
01_01_002_00	score: 0.9831840793038222
01_01_002_01	score: 0.9837641875534278
01_01_002_02	score: 0.9829812250708951
01_01_002_03	score: 0.9827800170356639
01_01_002_04	score: 0.9819034958663098
01_01_002_05	score: 0.9812665491222278
01_01_003_00	score: 0.9810040645550971
01_01_003_01	score: 0.9810113173437269
01_01_003_02	score: 0.9789673696637559
01_01_003_03	score: 0.9765745677597851
01_01_003_04	score: 0.9757997251850058
01_01_003_05	score: 0.9749811653438109
01_01_004_00	score: 0.9732900379336293
01_01_004_01	score: 0.9733990540490174
01_01_004_02	score: 0.9716791893949581
01_01_004_03	score: 0.9722821236317862
01_01_004_04	score: 0.9714362918540589
01_01_004_05	score: 0.9700180461099335
01_01_005_00	score: 0.9701399380199791
01_01_005_01	score: 0.9694517249629891
01_01_005_02	score: 0.9684398593432226
01_01_005_03	score: 0.9696433345038046
01_01_005_04	score: 0.9682919313736452
01_01_005_05	score: 0.9699700870462242
01_01_006_00	score: 0.9675156989548995
01_01_006_01	score: 0.9663072613535026
01_01_006_02	score: 0.9659979253567806
01_01_006_03	score: 0.9624808945739194
01_01_006_04	score: 0.96312344457541
01_01_006_05	score: 0.9629382926125631
01_01_007_00	score: 0.9614604959205189
01_01_007_01	score: 0.9562279488991681
01_01_007_02	score: 0.9567253409231161
